SELEÇÕES,bet365,betfair,betano,betsson,888sport,sportsbet.io,bwin,10bet,topsport, PROB,MÉDIA,DESVIO PADRÃO
Brasil,3.50,3.40,2.90,3.50,3.50,3.47,3.50,3.00,3.50,29.88,3.363,0.238
França,3.75,3.55,4.00,3.75,3.75,3.96,3.75,3.75,3.75,26.49,3.779,0.132
Inglaterra,3.75,3.70,4.00,3.75,4.00,3.71,4.00,4.00,3.75,26.00,3.851,0.142
Argentina,5.00,4.70,4.00,5.00,5.00,4.95,5.00,4.00,5.00,21.28,4.739,0.430
Espanha,5.00,4.40,6.00,5.00,4.50,4.46,5.00,4.50,5.00,20.70,4.873,0.501
Alemanha,5.50,6.00,7.00,5.50,5.00,4.95,5.00,5.50,5.50,18.21,5.550,0.640
Holanda,6.50,6.00,7.50,6.50,6.00,5.94,6.00,6.50,6.50,15.75,6.382,0.492
Portugal,6.00,6.00,7.00,6.00,6.00,5.94,6.00,6.50,6.50,16.14,6.216,0.368
Bélgica,6.00,6.00,9.00,6.00,6.00,5.94,6.00,6.50,6.25,15.85,6.410,0.988
Dinamarca,13.00,11.00,10.00,13.00,10.00,9.90,12.00,13.00,13.00,8.70,11.656,1.429
Uruguai,17.00,17.50,25.00,17.00,17.00,16.83,17.00,26.00,18.00,5.40,19.037,3.690
Croácia,17.00,16.00,30.00,17.00,17.00,16.83,17.00,21.00,19.00,5.45,18.981,4.398
Suiça,26.00,22.00,35.00,25.00,21.00,20.79,26.00,26.00,26.00,4.04,25.310,4.270
Senegal,29.00,24.00,45.00,30.00,23.00,22.77,29.00,26.00,29.00,3.63,28.641,6.751
Sérvia,51.00,34.00,45.00,55.00,34.00,33.66,41.00,41.00,41.00,2.46,41.740,7.574
México,51.00,30.00,45.00,55.00,26.00,25.74,41.00,51.00,41.00,2.66,40.638,11.123
País de Gales,41.00,40.00,50.00,45.00,67.00,66.33,41.00,81.00,75.00,1.91,56.259,16.109
Estados Unidos,34.00,36.00,45.00,35.00,41.00,40.59,41.00,41.00,41.00,2.56,39.399,3.590
Polônia,41.00,29.00,45.00,45.00,26.00,25.74,41.00,51.00,38.00,2.79,37.971,9.085
Equador,51.00,42.00,60.00,55.00,41.00,40.59,51.00,81.00,51.00,1.99,52.510,12.579
Camarões,67.00,55.00,75.00,70.00,81.00,80.19,81.00,101.00,81.00,1.33,76.799,12.604
Japão,67.00,65.00,75.00,70.00,81.00,80.19,81.00,101.00,81.00,1.30,77.910,10.745
Canadá,67.00,50.00,75.00,70.00,67.00,66.33,101.00,101.00,67.00,1.41,73.814,16.795
Marrocos,67.00,50.00,60.00,70.00,67.00,66.33,101.00,101.00,75.00,1.43,73.037,17.304
Gana,81.00,60.00,75.00,90.00,81.00,80.19,81.00,101.00,81.00,1.25,81.132,10.946
Qatar,101.00,65.00,75.00,100.00,81.00,80.19,81.00,101.00,101.00,1.17,87.243,13.706
Coreia do Sul,81.00,75.00,75.00,90.00,81.00,80.19,101.00,151.00,81.00,1.15,90.577,24.053
Austrália,81.00,90.00,60.00,90.00,151.00,149.49,151.00,251.00,151.00,0.91,130.499,57.925
Costa Rica,251.00,170.00,75.00,250.00,201.00,198.99,251.00,501.00,251.00,0.52,238.777,113.962
Irã,251.00,130.00,75.00,250.00,151.00,149.49,151.00,401.00,201.00,0.63,195.499,95.655
Tunísia,251.00,85.00,75.00,100.00,151.00,149.49,151.00,126.00,126.00,0.83,134.943,52.040
Arábia Saudita,251.00,150.00,150.00,250.00,201.00,248.49,201.00,401.00,251.00,0.46,233.721,75.185
