SELEÇÕES,bwin,betfair,888sport,sportingbet,sportsbet.io,betano,betsson,betwarrior,betway,10bet, PROB,MÉDIA,DESVIO PADRÃO
Brasil,5.75,5.90,6.00,5.75,6.00,5.00,6.00,6.00,6.00,5.50,17.32,5.790,0.324
França,7.00,7.20,6.50,7.00,7.00,7.50,7.00,7.50,7.50,7.00,14.07,7.120,0.316
Inglaterra,8.00,7.80,7.50,8.00,8.00,7.50,7.50,8.00,8.00,8.00,12.78,7.830,0.236
Argentina,9.00,8.00,9.00,9.00,9.00,7.50,9.00,9.00,8.50,7.50,11.76,8.550,0.643
Espanha,9.00,9.20,8.50,9.00,9.00,11.00,10.00,9.00,9.00,8.00,10.98,9.170,0.817
Alemanha,10.00,10.50,10.00,10.00,10.00,15.00,12.00,11.00,11.00,9.50,9.32,10.900,1.612
Holanda,13.00,15.00,13.00,13.00,13.00,15.00,15.00,15.00,15.00,13.00,7.18,14.000,1.054
Portugal,13.00,16.00,13.00,13.00,13.00,15.00,15.00,15.00,15.00,15.00,7.04,14.300,1.160
Bélgica,13.00,18.00,12.00,13.00,12.00,18.00,13.00,15.00,17.00,13.00,7.11,14.400,2.413
Dinamarca,26.00,30.00,31.00,26.00,31.00,20.00,30.00,31.00,34.00,29.00,3.54,28.800,3.910
Uruguai,51.00,55.00,46.00,51.00,46.00,50.00,50.00,61.00,51.00,51.00,1.96,51.200,4.315
Croácia,51.00,50.00,46.00,51.00,46.00,60.00,50.00,67.00,51.00,51.00,1.94,52.300,6.430
Suiça,81.00,110.00,81.00,81.00,80.99,75.00,80.00,81.00,101.00,81.00,1.19,85.199,11.064
Senegal,67.00,90.00,101.00,67.00,100.99,100.00,80.00,81.00,101.00,81.00,1.18,86.899,13.689
Sérvia,101.00,140.00,101.00,101.00,100.99,100.00,150.00,91.00,126.00,101.00,0.92,111.199,20.022
México,101.00,180.00,101.00,101.00,100.99,100.00,150.00,101.00,101.00,101.00,0.92,113.699,27.949
País de Gales,101.00,160.00,151.00,101.00,150.98,150.00,350.00,91.00,151.00,101.00,0.76,150.698,75.116
Estados Unidos,101.00,220.00,101.00,101.00,100.99,100.00,100.00,101.00,151.00,101.00,0.91,117.699,39.263
Polônia,101.00,200.00,101.00,101.00,100.99,100.00,125.00,91.00,201.00,101.00,0.88,122.199,42.143
Equador,151.00,220.00,126.00,151.00,125.99,200.00,150.00,151.00,251.00,151.00,0.63,167.699,41.667
Camarões,251.00,370.00,251.00,251.00,250.97,250.00,200.00,301.00,251.00,201.00,0.40,257.697,48.665
Japão,201.00,390.00,251.00,201.00,250.97,250.00,250.00,151.00,251.00,251.00,0.43,244.697,61.396
Canadá,201.00,380.00,201.00,201.00,200.98,250.00,150.00,201.00,251.00,201.00,0.47,223.698,61.816
Marrocos,251.00,390.00,251.00,251.00,200.98,200.00,250.00,251.00,251.00,251.00,0.40,254.698,51.949
Gana,251.00,390.00,251.00,251.00,250.97,250.00,250.00,301.00,251.00,201.00,0.39,264.697,49.941
Qatar,251.00,420.00,251.00,251.00,250.97,250.00,350.00,301.00,251.00,301.00,0.36,287.697,57.635
Coreia do Sul,251.00,260.00,251.00,251.00,250.97,250.00,250.00,151.00,251.00,251.00,0.42,241.697,32.003
Austrália,251.00,480.00,401.00,251.00,425.96,200.00,500.00,501.00,501.00,251.00,0.30,376.196,124.013
Costa Rica,501.00,510.00,501.00,501.00,500.95,250.00,1500.00,751.00,501.00,801.00,0.19,631.695,340.387
Irã,501.00,700.00,501.00,501.00,500.95,250.00,250.00,501.00,501.00,801.00,0.23,500.695,168.524
Tunísia,401.00,480.00,401.00,401.00,425.96,250.00,250.00,301.00,501.00,301.00,0.29,371.196,90.421
Arábia Saudita,501.00,550.00,501.00,501.00,500.95,500.00,250.00,501.00,751.00,351.00,0.22,490.695,128.816
