"SELEÇÕES","PROB_FASE_GP","PROB_QUARTAS","PROB_SEMIS","PROB_FINAL","PROB_GANHAR_COPA","GRUPO"
"Brasil","91.94","70.81","45.34","29.88","17.32","G"
"França","93.39","67.92","42","26.49","14.07","D"
"Inglaterra","94.82","68.77","42","26","12.78","B"
"Argentina","93.2","58.45","38.9","21.28","11.76","C"
"Espanha","90.49","60.24","34.96","20.7","10.98","E"
"Alemanha","88.07","55.91","30.94","18.21","9.32","E"
"Holanda","90.5","57.81","28.04","15.75","7.18","A"
"Portugal","86.87","53.71","28.91","16.14","7.04","H"
"Bélgica","90.31","52.53","27.24","15.85","7.11","F"
"Dinamarca","67.12","35.98","17.15","8.7","3.54","D"
"Uruguai","68.29","29.57","11.77","5.4","1.96","H"
"Croácia","63.75","25.28","11.2","5.45","1.94","F"
"Suiça","49.75","23.08","9.22","4.04","1.19","G"
"Senegal","56.83","20.63","8.1","3.63","1.18","A"
"Sérvia","45.22","16.05","6.75","2.46","0.92","G"
"México","53.4","17.67","6.74","2.66","0.92","C"
"País de Gales","47.74","15.64","5.52","1.91","0.76","B"
"Estados Unidos","49.76","17.45","6.54","2.56","0.91","B"
"Polônia","53.19","17.11","6.74","2.79","0.88","C"
"Equador","50.03","16.4","6.33","1.99","0.63","A"
"Camarões","28.34","9.68","3.57","1.33","0.4","G"
"Japão","24.79","9.81","4","1.3","0.43","E"
"Canadá","25.94","9.72","3.72","1.41","0.47","F"
"Marrocos","32.19","12.43","5.04","1.43","0.4","F"
"Gana","30.08","8.96","3.01","1.25","0.39","H"
"Qatar","16.89","6.34","2.27","1.17","0.36","A"
"Coreia do Sul","29.32","9.01","3.28","1.15","0.42","H"
"Austrália","27.27","8.99","3.18","0.91","0.3","D"
"Costa Rica","12.52","6.26","2.08","0.52","0.19","E"
"Irã","22.43","6.52","1.89","0.63","0.23","B"
"Tunísia","26.54","7.74","2.54","0.83","0.29","D"
"Arábia Saudita","14.47","3.18","1.02","0.46","0.22","C"
