SELEÇÕES,bwin,betfair,betstar,sportingbet,bet365,betano,betsson,betmotion,betway,10bet, PROB,MÉDIA,DESVIO PADRÃO
Brasil,1.07,1.06,1.08,1.07,1.11,1.11,1.10,1.11,1.07,1.10,91.94,1.088,0.020
França,1.06,1.04,1.07,1.06,1.08,1.08,1.07,1.08,1.10,1.07,93.39,1.071,0.016
Inglaterra,1.03,1.05,1.10,1.03,1.05,1.05,1.05,1.05,1.08,1.06,94.82,1.055,0.021
Argentina,1.06,1.07,1.06,1.06,1.08,1.08,1.08,1.08,1.08,1.08,93.20,1.073,0.009
Espanha,1.08,1.08,1.07,1.08,1.11,1.18,1.10,1.11,1.12,1.13,90.49,1.106,0.033
Alemanha,1.11,1.11,1.10,1.11,1.16,1.15,1.15,1.16,1.16,1.15,88.07,1.136,0.025
Holanda,1.10,1.10,1.10,1.10,1.12,1.10,1.10,1.12,1.10,1.11,90.50,1.105,0.008
Portugal,1.14,1.11,1.10,1.14,1.18,1.18,1.20,1.18,1.14,1.15,86.87,1.152,0.033
Bélgica,1.09,1.10,1.08,1.09,1.11,1.19,1.10,1.11,1.10,1.11,90.31,1.108,0.030
Dinamarca,1.50,1.40,1.40,1.50,1.57,1.57,1.55,1.57,1.53,1.35,67.12,1.494,0.082
Uruguai,1.53,1.40,1.40,1.53,1.50,1.50,1.45,1.50,1.40,1.45,68.29,1.466,0.053
Croácia,1.53,1.57,1.62,1.53,1.57,1.57,1.55,1.57,1.61,1.57,63.75,1.569,0.029
Suiça,2.15,1.91,1.92,2.15,2.00,2.00,2.00,2.00,2.00,2.00,49.75,2.013,0.080
Senegal,1.75,1.85,1.81,1.75,1.72,1.75,1.72,1.72,1.83,1.71,56.83,1.761,0.051
Sérvia,2.20,2.20,1.91,2.20,2.25,2.30,2.20,2.25,2.37,2.30,45.22,2.218,0.122
México,1.85,1.83,1.91,1.85,1.90,1.90,1.90,1.90,1.83,1.86,53.40,1.873,0.032
País de Gales,2.15,2.10,2.00,2.15,2.10,2.15,2.10,2.11,2.00,2.10,47.74,2.096,0.055
Estados Unidos,2.00,2.10,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,49.76,2.010,0.032
Polônia,1.90,1.73,1.91,1.90,1.90,1.95,1.90,1.90,1.83,1.90,53.19,1.882,0.061
Equador,2.00,2.00,2.10,2.00,2.00,2.00,2.00,2.00,1.90,2.00,50.03,2.000,0.047
Camarões,3.50,3.75,3.75,3.50,3.40,3.70,3.50,3.25,3.50,3.50,28.34,3.535,0.158
Japão,4.00,3.75,3.50,4.00,4.33,4.20,4.30,4.10,4.33,4.00,24.79,4.051,0.268
Canadá,3.50,3.60,3.75,3.50,3.75,6.00,3.75,3.60,4.00,4.00,25.94,3.945,0.744
Marrocos,3.50,2.80,2.75,3.50,3.00,5.00,3.00,2.90,2.62,3.00,32.19,3.207,0.693
Gana,3.25,3.60,3.50,3.25,3.25,3.70,3.25,3.05,3.25,3.25,30.08,3.335,0.199
Qatar,6.25,4.50,4.50,6.25,7.00,6.50,7.00,6.60,6.00,6.00,16.89,6.060,0.894
Coreia do Sul,3.25,3.50,3.75,3.25,3.25,4.00,3.25,3.05,3.50,3.50,29.32,3.430,0.282
Austrália,3.75,4.50,4.00,3.75,3.25,3.30,3.20,3.20,3.50,5.00,27.27,3.745,0.606
Costa Rica,15.00,12.00,13.00,15.00,7.00,4.20,7.00,6.00,7.00,8.00,12.52,9.420,3.948
Irã,5.00,3.15,3.50,5.00,5.00,5.00,5.00,4.60,5.00,4.50,22.43,4.575,0.689
Tunísia,4.00,3.75,4.33,4.00,3.50,3.70,3.50,3.35,3.75,4.00,26.54,3.788,0.298
Arábia Saudita,7.50,8.00,7.00,7.50,6.00,7.50,6.00,5.40,8.50,7.00,14.47,7.040,0.974
