SELEÇÕES,bet365,betmotion,betano,betsson,888sport,topsport, PROB,MÉDIA,DESVIO PADRÃO
Brasil,1.44,1.44,1.28,1.45,1.44,1.44,70.81,1.415,0.066
França,1.50,1.50,1.40,1.50,1.44,1.50,67.92,1.473,0.043
Inglaterra,1.44,1.44,1.40,1.45,1.50,1.50,68.77,1.455,0.039
Argentina,1.83,1.83,1.40,1.85,1.72,1.73,58.45,1.727,0.169
Espanha,1.66,1.66,1.65,1.65,1.67,1.67,60.24,1.660,0.009
Alemanha,1.83,1.83,1.78,1.85,1.72,1.73,55.91,1.790,0.055
Holanda,1.72,1.72,1.78,1.72,1.72,1.72,57.81,1.730,0.024
Portugal,1.90,1.90,1.78,1.90,1.80,1.90,53.71,1.863,0.057
Bélgica,1.90,1.90,2.00,1.90,1.83,1.90,52.53,1.905,0.054
Dinamarca,3.00,3.00,2.25,3.00,2.80,2.80,35.98,2.808,0.291
Uruguai,3.40,3.40,3.50,3.40,3.30,3.30,29.57,3.383,0.075
Croácia,4.00,4.00,3.75,4.00,4.00,4.00,25.28,3.958,0.102
Suiça,4.33,4.30,5.00,4.50,3.75,4.30,23.08,4.363,0.402
Senegal,5.00,5.00,7.25,5.00,4.00,4.00,20.63,5.042,1.188
Sérvia,6.50,6.50,7.25,6.50,5.50,5.50,16.05,6.292,0.679
México,6.00,6.00,7.25,6.00,4.50,5.00,17.67,5.792,0.954
País de Gales,6.50,6.40,9.00,6.50,5.50,5.50,15.64,6.567,1.283
Estados Unidos,5.50,5.50,7.25,5.50,5.50,5.50,17.45,5.792,0.714
Polônia,6.00,6.00,7.25,6.00,4.50,6.00,17.11,5.958,0.872
Equador,6.50,6.40,10.00,6.50,4.20,5.50,16.40,6.517,1.926
Camarões,11.00,11.00,12.00,11.00,8.00,10.00,9.68,10.500,1.378
Japão,10.00,10.00,12.00,10.00,9.50,10.00,9.81,10.250,0.880
Canadá,10.00,10.00,12.00,10.00,10.00,10.00,9.72,10.333,0.816
Marrocos,8.00,7.80,10.00,8.00,7.00,8.00,12.43,8.133,0.993
Gana,11.00,11.00,12.00,11.00,11.00,11.00,8.96,11.167,0.408
Qatar,17.00,16.00,12.00,20.00,15.00,17.00,6.34,16.167,2.639
Coreia do Sul,11.00,11.00,12.00,15.00,8.50,11.00,9.01,11.417,2.108
Austrália,11.00,11.00,10.00,11.00,12.00,12.00,8.99,11.167,0.753
Costa Rica,34.00,30.00,12.00,35.00,8.50,12.00,6.26,21.917,12.322
Irã,26.00,24.00,12.00,30.00,8.50,13.00,6.52,18.917,8.834
Tunísia,13.00,13.00,12.00,15.00,12.00,13.00,7.74,13.000,1.095
Arábia Saudita,34.00,30.00,22.00,35.00,41.00,34.00,3.18,32.667,6.314
