SELEÇÕES,bet365,betmotion,betano,betsson,888sport, PROB,MÉDIA,DESVIO PADRÃO
Brasil,2.37,2.36,1.70,2.40,2.40,45.34,2.246,0.306
França,2.50,2.50,2.00,2.50,2.50,42.00,2.400,0.224
Inglaterra,2.50,2.50,2.00,2.50,2.50,42.00,2.400,0.224
Argentina,3.00,2.65,2.00,2.65,2.80,38.90,2.620,0.375
Espanha,2.87,2.85,3.00,2.90,2.70,34.96,2.864,0.108
Alemanha,3.25,3.25,3.50,3.20,3.00,30.94,3.240,0.178
Holanda,3.75,3.75,3.50,3.70,3.20,28.04,3.580,0.236
Portugal,3.40,3.40,3.50,3.50,3.50,28.91,3.460,0.055
Bélgica,3.50,3.50,4.75,3.50,3.40,27.24,3.730,0.572
Dinamarca,6.00,6.00,5.70,6.00,5.50,17.15,5.840,0.230
Uruguai,8.00,7.80,13.00,8.00,7.50,11.77,8.860,2.323
Croácia,8.00,7.80,14.00,8.50,8.50,11.20,9.360,2.612
Suiça,10.00,10.00,20.00,10.00,9.00,9.22,11.800,4.604
Senegal,11.00,11.00,25.00,12.00,10.00,8.10,13.800,6.301
Sérvia,13.00,13.00,25.00,15.00,13.00,6.75,15.800,5.215
México,15.00,14.00,25.00,17.00,10.00,6.74,16.200,5.541
País de Gales,15.00,15.00,40.00,17.00,17.00,5.52,20.800,10.780
Estados Unidos,13.00,13.00,25.00,15.00,15.00,6.54,16.200,5.020
Polônia,15.00,14.00,25.00,17.00,10.00,6.74,16.200,5.541
Equador,15.00,16.00,35.00,17.00,10.00,6.33,18.600,9.555
Camarões,26.00,23.00,40.00,30.00,26.00,3.57,29.000,6.633
Japão,21.00,23.00,40.00,22.00,26.00,4.00,26.400,7.829
Canadá,21.00,23.00,40.00,22.00,41.00,3.72,29.400,10.164
Marrocos,17.00,18.00,35.00,20.00,17.00,5.04,21.400,7.701
Gana,29.00,30.00,40.00,30.00,41.00,3.01,34.000,5.958
Qatar,41.00,45.00,40.00,45.00,51.00,2.27,44.400,4.336
Coreia do Sul,34.00,30.00,40.00,35.00,21.00,3.28,32.000,7.106
Austrália,29.00,30.00,35.00,30.00,34.00,3.18,31.600,2.702
Costa Rica,101.00,90.00,40.00,35.00,34.00,2.08,60.000,32.718
Irã,101.00,90.00,40.00,100.00,26.00,1.89,71.400,35.662
Tunísia,34.00,30.00,40.00,100.00,34.00,2.54,47.600,29.509
Arábia Saudita,101.00,90.00,75.00,100.00,151.00,1.02,103.400,28.588
